userId,summary,skills,projects,experience,education,hired,job_description
e6768ead-6d07-4c63-b706-8adf5332a4f2,Experienced in AI and backend development.,"[{'name': 'Node.js', 'level': 2}, {'name': 'React.js', 'level': 1}]","[{'name': 'Cloud-Based CRM', 'description': 'Designed a CRM system with cloud deployment.', 'isVerified': False}, {'name': 'AI Chatbot', 'description': 'Implemented a chatbot for customer service automation.', 'isVerified': True}]","Web Developer at Amazon (Mar 2020 - Sep 2023):
- Created dynamic React applications.
- Worked with AWS Lambda for serverless computing.","{'institution': 'MIT', 'degree': 'M.Sc in AI', 'gpa': 3.95, 'honors': 'Summa Cum Laude'}",1,"Full-Stack Developer: Work with React.js, Node.js, and AWS to build scalable web applications."
4fcc99e6-aa62-409b-9e95-151175d7fcfc,Experienced in AI and backend development.,"[{'name': 'React.js', 'level': 1}, {'name': 'SQL', 'level': 2}, {'name': 'Node.js', 'level': 2}]","[{'name': 'Cloud-Based CRM', 'description': 'Designed a CRM system with cloud deployment.', 'isVerified': False}, {'name': 'E-commerce Platform', 'description': 'Developed a scalable e-commerce solution with secure payments.', 'isVerified': False}]","Data Scientist at Microsoft (May 2018 - Jul 2022):
- Developed machine learning models for analytics.
- Used Python and TensorFlow for deep learning.","{'institution': 'MIT', 'degree': 'M.Sc in AI', 'gpa': 3.95, 'honors': 'Summa Cum Laude'}",1,"Machine Learning Engineer: Develop AI models for predictive analytics, NLP, and computer vision."
93ff5fd6-77fb-4a59-9150-29f011cb5a16,Experienced in AI and backend development.,"[{'name': 'Node.js', 'level': 2}, {'name': 'JavaScript', 'level': 3}, {'name': 'Machine Learning', 'level': 3}, {'name': 'Docker', 'level': 1}]","[{'name': 'AI Chatbot', 'description': 'Implemented a chatbot for customer service automation.', 'isVerified': True}, {'name': 'Cloud-Based CRM', 'description': 'Designed a CRM system with cloud deployment.', 'isVerified': False}, {'name': 'E-commerce Platform', 'description': 'Developed a scalable e-commerce solution with secure payments.', 'isVerified': False}]","Data Scientist at Microsoft (May 2018 - Jul 2022):
- Developed machine learning models for analytics.
- Used Python and TensorFlow for deep learning.","{'institution': 'Stanford University', 'degree': 'B.Sc in Computer Science', 'gpa': 3.85, 'honors': 'Magna Cum Laude'}",1,"Full-Stack Developer: Work with React.js, Node.js, and AWS to build scalable web applications."
b177d6f7-eb53-41ae-8039-96d7b2cc6f72,Experienced in AI and backend development.,"[{'name': 'Python', 'level': 2}, {'name': 'Machine Learning', 'level': 3}, {'name': 'SQL', 'level': 2}, {'name': 'React.js', 'level': 1}, {'name': 'Node.js', 'level': 2}]","[{'name': 'Cloud-Based CRM', 'description': 'Designed a CRM system with cloud deployment.', 'isVerified': False}, {'name': 'AI Chatbot', 'description': 'Implemented a chatbot for customer service automation.', 'isVerified': True}]","Data Scientist at Microsoft (May 2018 - Jul 2022):
- Developed machine learning models for analytics.
- Used Python and TensorFlow for deep learning.","{'institution': 'MIT', 'degree': 'M.Sc in AI', 'gpa': 3.95, 'honors': 'Summa Cum Laude'}",0,"Data Scientist: Analyze large datasets using Python, Pandas, and TensorFlow."
560e311e-2e59-431c-96d3-77eafdb2f7a5,Experienced in AI and backend development.,"[{'name': 'Node.js', 'level': 2}, {'name': 'SQL', 'level': 2}, {'name': 'Docker', 'level': 1}]","[{'name': 'Cloud-Based CRM', 'description': 'Designed a CRM system with cloud deployment.', 'isVerified': False}]","Software Engineer at Google (Jan 2021 - Dec 2023):
- Built AI-powered search algorithms.
- Developed REST APIs using Flask and FastAPI.
- Integrated cloud computing services.","{'institution': 'Stanford University', 'degree': 'B.Sc in Computer Science', 'gpa': 3.85, 'honors': 'Magna Cum Laude'}",1,"Data Scientist: Analyze large datasets using Python, Pandas, and TensorFlow."
f11ed55d-bfcf-4202-a1ce-dc2c7637a40f,Experienced in AI and backend development.,"[{'name': 'Machine Learning', 'level': 3}, {'name': 'React.js', 'level': 1}, {'name': 'SQL', 'level': 2}, {'name': 'JavaScript', 'level': 3}]","[{'name': 'Cloud-Based CRM', 'description': 'Designed a CRM system with cloud deployment.', 'isVerified': False}, {'name': 'E-commerce Platform', 'description': 'Developed a scalable e-commerce solution with secure payments.', 'isVerified': False}, {'name': 'Automated Resume Parser', 'description': 'Built an NLP-based resume parsing tool for hiring automation.', 'isVerified': True}]","Web Developer at Amazon (Mar 2020 - Sep 2023):
- Created dynamic React applications.
- Worked with AWS Lambda for serverless computing.","{'institution': 'Stanford University', 'degree': 'B.Sc in Computer Science', 'gpa': 3.85, 'honors': 'Magna Cum Laude'}",0,"Data Scientist: Analyze large datasets using Python, Pandas, and TensorFlow."
82e00e7a-b1f3-4a12-a138-b4b39dae2280,Experienced in AI and backend development.,"[{'name': 'JavaScript', 'level': 3}, {'name': 'Node.js', 'level': 2}, {'name': 'Docker', 'level': 1}]","[{'name': 'AI Chatbot', 'description': 'Implemented a chatbot for customer service automation.', 'isVerified': True}, {'name': 'E-commerce Platform', 'description': 'Developed a scalable e-commerce solution with secure payments.', 'isVerified': False}, {'name': 'Automated Resume Parser', 'description': 'Built an NLP-based resume parsing tool for hiring automation.', 'isVerified': True}]","Data Scientist at Microsoft (May 2018 - Jul 2022):
- Developed machine learning models for analytics.
- Used Python and TensorFlow for deep learning.","{'institution': 'MIT', 'degree': 'M.Sc in AI', 'gpa': 3.95, 'honors': 'Summa Cum Laude'}",1,"Data Scientist: Analyze large datasets using Python, Pandas, and TensorFlow."
770bbd06-54d6-43bb-a506-0a9574ec1988,Experienced in AI and backend development.,"[{'name': 'React.js', 'level': 1}, {'name': 'SQL', 'level': 2}, {'name': 'Docker', 'level': 1}]","[{'name': 'E-commerce Platform', 'description': 'Developed a scalable e-commerce solution with secure payments.', 'isVerified': False}, {'name': 'Cloud-Based CRM', 'description': 'Designed a CRM system with cloud deployment.', 'isVerified': False}, {'name': 'AI Chatbot', 'description': 'Implemented a chatbot for customer service automation.', 'isVerified': True}]","Data Scientist at Microsoft (May 2018 - Jul 2022):
- Developed machine learning models for analytics.
- Used Python and TensorFlow for deep learning.","{'institution': 'Harvard', 'degree': 'M.Sc in Data Science', 'gpa': 3.9, 'honors': 'Cum Laude'}",1,"Machine Learning Engineer: Develop AI models for predictive analytics, NLP, and computer vision."
dd2625b2-073f-4732-a637-3717b1da2de8,Experienced in AI and backend development.,"[{'name': 'Machine Learning', 'level': 3}, {'name': 'JavaScript', 'level': 3}]","[{'name': 'Cloud-Based CRM', 'description': 'Designed a CRM system with cloud deployment.', 'isVerified': False}, {'name': 'AI Chatbot', 'description': 'Implemented a chatbot for customer service automation.', 'isVerified': True}]","Software Engineer at Google (Jan 2021 - Dec 2023):
- Built AI-powered search algorithms.
- Developed REST APIs using Flask and FastAPI.
- Integrated cloud computing services.","{'institution': 'MIT', 'degree': 'M.Sc in AI', 'gpa': 3.95, 'honors': 'Summa Cum Laude'}",0,Cloud Engineer: Manage cloud infrastructure and DevOps pipelines with AWS and Docker.
965a9ade-25a0-43fb-aa53-d05cd57c80b8,Experienced in AI and backend development.,"[{'name': 'Docker', 'level': 1}, {'name': 'JavaScript', 'level': 3}, {'name': 'SQL', 'level': 2}]","[{'name': 'Automated Resume Parser', 'description': 'Built an NLP-based resume parsing tool for hiring automation.', 'isVerified': True}]","Web Developer at Amazon (Mar 2020 - Sep 2023):
- Created dynamic React applications.
- Worked with AWS Lambda for serverless computing.","{'institution': 'Stanford University', 'degree': 'B.Sc in Computer Science', 'gpa': 3.85, 'honors': 'Magna Cum Laude'}",1,"Full-Stack Developer: Work with React.js, Node.js, and AWS to build scalable web applications."
